S/N,Name,City,Address,Phone,Owner
118,SEVAL KAYMAK ECZANESİ,LEFKOŞA,Prof.Dr.Necmettin Erbakan Cad. N0: 41/A Lefkoşa,(0392) 227 96 19,Ecz. Seval Kaymak
119,SEVCAN ECZANESİ,LEFKOŞA,"Atatürk Cad. Emek Apt. Dükkan No: 3, Li̇masol Türk Koop Bankası karşısı, Yeni̇şehi̇r, Lefkoşa",(0392) 227 60 71,Ecz. Sevcan Güvenir
120,SEVGİ KARABEKİR ECZANESİ,LEFKOŞA,"20 Temmuz Sokak Suphi Hüdaoğlu Apt. No: 25 Kapı No: 1, Yenikent - Gönyeli, Lefkoşa",(0533) 820 72 84,Ecz. Sevgi Dudu Karabekir
121,SEVGİ KIRBOĞA ECZANESİ,LEFKOŞA,"Şht. Ecvet Yusuf Cad. No: 33/C, Öztekiner Apt., Yenişehir, Lefkoşa",(0392) 228 05 08,Ecz. Sevgi Kırboğa
122,SEYRANTEPE ECZANESİ,LEFKOŞA,Atatürk Cad. 46 A Hamitköy Lefkoşa,(0392) 225 57 28,Ecz. Ferdiye Dorak
123,SEZER ECZANESİ,LEFKOŞA,79/B Gz.Hasan Tahsin Cad.Kermiya Ortaköy Kermiya,(0392) 223 70 88,Ecz. Turan Ceyda
124,ŞİRİN BOLKAN ECZANESİ,LEFKOŞA,Atatürk Cad. Ersalıcı Atp. Hamitköy Lefkoşa,(0392) 225 40 20,Ecz. Şirin Bolkan
125,SONUÇ ECZANESİ,LEFKOŞA,Atatürk Cad. No: 7/ B Yenişehir Lefkoşa,(0392) 227 32 70,Ecz. Ergin Sonuç
126,SÖZÜÖZ ECZANESİ,LEFKOŞA,"Şht. Mehmet Kemal Sok., Akasya Apt., Lemar arkası, Şht. Doğan Ahmet İlkokulu sırası, Küçük Kaymaklı, Lefkoşa",(0392) 229 33 00,Ecz. Umut Sözüöz
127,TÖRENAĞA ECZANESİ,LEFKOŞA,"Gaz. Kemal Aşık Cad. No: 60, Küçük Kaymaklı, Lefkoşa",(0392) 228 10 08,Ecz. Aygül Aygın
128,TUĞCAN ECZANESİ,LEFKOŞA,İsmail Beyoğlu Cad.Atılgan Plaza Dük.No:8 K.Kaymaklı,(0392) 229 29 86,Ecz. Tuğcan Burukkan Akçın
129,TUNA ECZANESİ,LEFKOŞA,Şht.Ecvet Yusuf Cad. HacıBulgur Apt.No:16 B Deniz Plaza ve Mochachina yanı Yenişehir,(0392) 227 78 74,Ecz. Sunay Tuna
130,TÜRKAN ŞENTİP ECZANESİ,LEFKOŞA,Belediye Bulvarı N0:75/C Damdelen Petrol karşısı Yenikent Gönyeli,(0392) 223 93 40,Ecz. Türkan Şentip
131,ÜLKER POZAN ECZANESİ,LEFKOŞA,Şht.Gaz.Hasan Tahsin Cad. 28/2 Ortaköy Lefkoşa Lemar Yolu,(0392) 223 51 80,Ecz. Ülker Pozan
132,UMUT ÖKSÜZ ECZANESİ,LEFKOŞA,"Şht. Mustafa Ruso Cad. No:17, Küçük Kaymaklı Macro Süperarket karşısı(Eski Lemar Süpermarket), Aras Kargo yanı, Lefkoşa",(0392) 444 86 88,Ecz. Umut Öksüz
133,VAİZ ECZANESİ,LEFKOŞA,"Atatürk Caddesi No: 84/C, Yenişehir, Lefkoşa",(0392) 228 09 90,Ecz. Derviş Doğa Vaiz
134,YAPRAK POLAT ECZANESİ,LEFKOŞA,"Zafer Cad. 34A Haspolat, Lefkoşa",(0533) 879 93 23,Ecz. Yaprak Polat
135,YAZMAN ECZANESİ,LEFKOŞA,Devlet Hastanesi Karşısı Akay Optik Plaza Ortaköy Lefkoşa,(0392) 223 21 21,Ecz. Necat Yazman
